city,team,PACE,AST,TO,ORR,DRR,REBR,EFF FG%,TS%,OFF EFF,DEF EFF,season
New Jersey,Nets,93.6,13.6,24.1,25.1,71.8,47.4,45.8,50.9,98.1,108,2009
New Jersey,Nets,92.3,14.6,22.5,25.2,73.5,49,49.7,54.3,105.4,108.2,2008
New Jersey,Nets,108,16.3,24.8,26.6,73.8,50.1,48.1,52.8,87.5,93.4,2007
New Jersey,Nets,108.1,16.8,24.9,24.6,74.4,49.7,50.4,54.6,89.6,89.8,2006
New Jersey,Nets,106,16.5,23.5,24,76.3,49.8,47.8,52.8,88.5,86.4,2005
New Jersey,Nets,106.5,15.5,24.1,25.5,73.2,49,46.3,51.2,85.3,85.9,2004
New Jersey,Nets,107.3,17.3,25.2,25.9,73.9,49.9,47.1,51.5,84.6,81.1,2003
New Jersey,Nets,109.8,15.9,24.3,28.7,73.1,50.9,46.8,51.8,87,81.2,2002
New Orleans,Pelicans,98.9,16.9,12.3,21.2,78.8,49,49.8,53.7,103.2,107.3,2015
New Orleans,Pelicans,93.7,17.2,12.5,27.1,75.1,51.1,50.1,53.7,105.4,104.7,2014
New Orleans,Pelicans,94.5,16.6,12.9,26.9,73.8,50,49.5,53.7,104.7,107.3,2013
New Orleans,Pelicans,90.9,16.8,14,29.2,74.4,51.4,48.9,52.8,102.7,107.6,2012
New Orleans,Pelicans,90.7,15,26.4,27.5,73.1,50.7,47.6,51.7,98.3,102.3,2011
New Orleans,Pelicans,90.9,15.3,22.8,25.1,76.2,50.5,49.3,53.7,103.8,102.5,2010
New Orleans,Pelicans,94.8,15.7,22.6,24.8,73.8,48.9,50.6,54.3,105.1,107.3,2009
New Orleans,Pelicans,90,14.8,22.3,24.6,74.9,49.8,50.1,54.8,106.2,104.1,2008
New Orleans,Pelicans,104.9,15.8,20.5,27,75.4,50.6,51.2,54.8,96.6,89.5,2007
New Orleans,Pelicans,104.8,15,24.8,29.1,70.7,49,44.6,49.3,82.6,90.8,2004
New Orleans,Pelicans,107,14.8,24.8,30.6,71.3,50.4,46,50.5,85.3,85.1,2003
New Orleans,Pelicans,106.8,15.4,24.3,31.7,73.1,52.2,46.5,51.1,86.9,85.1,2002
New York,Knicks,95.8,16.1,12.6,23.7,75.8,50.1,48.3,52.7,102,104.8,2015
